Date,Open,High,Low,Close,Adj Close,Volume,Signal
2023-08-18,45.0,45.450001,44.52,45.169998,45.097565,6472300,1
2023-08-21,45.5,46.099998,44.32,44.75,44.678238,7574600,1
2023-08-22,44.810001,45.459999,44.650002,45.099998,45.027676,5467600,1
2023-08-23,44.790001,46.18,44.099998,45.849998,45.776474,9869100,1
2023-08-24,45.900002,46.490002,45.400002,46.060001,45.986141,4785000,1
2023-08-25,46.459999,46.880001,45.619999,46.389999,46.315609,5710400,-1
2023-08-28,46.41,46.799999,46.200001,46.689999,46.615128,4810400,1
2023-08-29,47.0,47.18,45.630001,45.849998,45.776474,8537100,1
2023-08-30,45.970001,46.130001,45.439999,45.810001,45.736542,4725000,1
2023-08-31,46.009998,47.299999,45.709999,46.419998,46.345558,12801400,-1
2023-09-01,46.990002,47.5,46.209999,46.950001,46.87471,7194200,1
2023-09-04,46.799999,47.02,46.41,46.610001,46.535255,3476500,1
2023-09-05,46.389999,48.130001,46.259998,47.490002,47.413845,9135100,1
2023-09-06,47.5,47.799999,46.73,46.790001,46.71497,6127400,-1
2023-09-08,46.580002,47.540001,46.360001,47.490002,47.413845,6412100,1
2023-09-11,47.48,48.34,46.82,47.709999,47.633492,6631000,1
2023-09-12,48.25,48.709999,47.849998,48.110001,48.032852,5144500,-1
2023-09-13,48.310001,48.830002,47.939999,48.200001,48.122707,8175700,-1
2023-09-14,48.799999,49.400002,48.630001,49.25,49.171024,8481000,-1
2023-09-15,49.450001,49.68,48.610001,49.400002,49.320782,10573800,-1
2023-09-18,49.700001,49.830002,47.82,48.16,48.082771,6378400,-1
2023-09-19,48.490002,48.939999,48.310001,48.709999,48.631889,7751800,-1
2023-09-20,48.599998,49.529999,48.43,48.709999,48.631889,6334500,-1
2023-09-21,48.310001,48.490002,46.02,46.439999,46.365528,14203500,-1
2023-09-22,47.0,47.360001,46.209999,46.759998,46.685013,6646400,-1
2023-09-25,46.650002,47.169998,46.419998,46.98,46.904663,4190700,-1
2023-09-26,46.860001,47.099998,46.099998,46.93,46.854744,5474000,-1
2023-09-27,47.759998,48.470001,47.599998,48.299999,48.222546,8472300,-1
2023-09-28,48.299999,48.52,47.130001,47.240002,47.164246,9568700,-1
2023-09-29,47.75,47.849998,45.259998,47.040001,46.964569,14768700,-1
2023-10-02,47.119999,47.299999,45.220001,45.400002,45.327198,10385000,-1
2023-10-03,45.27,45.549999,44.459999,45.169998,45.097565,10501400,-1
2023-10-04,44.799999,44.990002,43.68,43.900002,43.829605,12270800,-1
2023-10-05,43.869999,44.09,43.200001,43.709999,43.639904,7883100,-1
2023-10-06,43.25,44.860001,43.139999,44.540001,44.468575,7181000,-1
2023-10-09,46.080002,48.740002,46.080002,48.450001,48.372307,22011800,-1
2023-10-10,48.200001,48.48,47.669998,48.25,48.172626,8628900,-1
2023-10-11,48.099998,48.23,47.169998,47.599998,47.523666,10758700,-1
2023-10-13,49.0,50.25,48.470001,50.0,49.919819,15651900,-1
2023-10-16,50.220001,50.439999,48.959999,49.799999,49.720139,7872400,-1
2023-10-17,49.799999,50.470001,49.43,50.200001,50.119499,10623000,-1
2023-10-18,50.630001,51.349998,50.110001,50.200001,50.119499,13698300,-1
2023-10-19,49.5,50.220001,49.299999,50.029999,49.949772,8442900,-1
2023-10-20,50.040001,50.220001,49.169998,49.700001,49.6203,9633200,-1
2023-10-23,49.389999,49.869999,48.799999,48.84,48.761681,9719300,-1
2023-10-24,49.27,49.779999,48.509998,48.849998,48.771664,9193900,-1
2023-10-25,49.0,49.0,47.869999,48.360001,48.282452,6940700,-1
2023-10-26,47.779999,48.139999,47.34,48.0,47.923027,6423600,-1
2023-10-27,47.790001,48.110001,47.259998,47.77,47.693398,9518700,-1
2023-10-30,47.700001,48.0,46.200001,46.360001,46.285656,7475400,-1
2023-10-31,46.549999,47.700001,46.5,47.700001,47.623508,8322300,-1
2023-11-01,48.799999,49.040001,48.0,48.07,47.992916,13066300,-1
2023-11-03,49.200001,49.400002,47.830002,48.200001,48.122707,8622000,-1
2023-11-06,48.5,48.650002,47.77,48.009998,47.93301,4894600,-1
2023-11-07,47.43,47.529999,46.630001,46.82,46.744919,11616200,-1
2023-11-08,46.5,46.73,45.259998,45.48,45.407066,13085600,-1
2023-11-09,45.740002,46.25,44.73,44.73,44.658272,8134900,-1
2023-11-10,45.029999,46.900002,45.029999,46.470001,46.395481,10093300,-1
2023-11-13,46.330002,46.919998,46.209999,46.299999,46.225754,5263500,-1
2023-11-14,46.450001,47.34,46.150002,46.990002,46.91465,10645500,-1
2023-11-16,46.5,46.830002,44.560001,45.330002,45.257309,20731500,-1
2023-11-17,45.889999,46.889999,45.700001,46.48,46.405464,14546400,-1
2023-11-20,46.98,48.540001,46.830002,47.529999,47.453781,10482700,-1
2023-11-21,47.150002,48.16,46.68,47.98,47.903057,6421300,-1
2023-11-22,46.990002,47.27,46.32,47.240002,47.164246,9912800,-1
2023-11-23,47.009998,47.34,46.849998,47.240002,47.164246,3659300,-1
2023-11-24,47.130001,47.82,46.900002,47.209999,47.134293,5067400,-1
2023-11-27,46.919998,47.34,45.610001,46.220001,46.145882,8357200,-1
2023-11-28,46.369999,46.529999,45.43,46.09,46.01609,10027000,-1
2023-11-29,46.610001,46.700001,45.619999,45.91,45.83638,9142900,-1
2023-11-30,46.25,47.650002,45.580002,45.93,45.856346,22197800,-1
2023-12-01,46.080002,46.080002,44.27,44.57,44.498528,14432700,-1
2023-12-04,44.299999,44.560001,43.740002,44.220001,44.14909,11542400,-1
2023-12-05,44.200001,44.439999,42.799999,43.16,43.09079,13318300,-1
2023-12-06,42.799999,42.799999,41.150002,41.439999,41.373547,21444600,-1
2023-12-07,41.810001,42.630001,41.610001,42.419998,42.351974,11960600,-1
2023-12-08,43.0,44.790001,42.25,44.549999,44.478558,16670000,-1
2023-12-11,44.549999,44.790001,43.990002,44.68,44.608353,6086600,-1
2023-12-12,44.650002,44.669998,43.459999,43.799999,43.729763,12409100,-1
2023-12-13,44.0,45.759998,43.919998,45.299999,45.227356,10826300,-1
2023-12-14,46.25,47.400002,45.970001,47.279999,47.279999,13677700,-1
2023-12-15,47.82,47.849998,46.119999,46.25,46.25,26755800,-1
2023-12-18,46.139999,47.389999,45.950001,46.099998,46.099998,10262300,1
2023-12-19,46.400002,46.959999,46.119999,46.709999,46.709999,4214700,-1
2023-12-20,46.959999,46.959999,45.32,45.540001,45.540001,6991300,-1
2023-12-21,45.75,45.799999,44.84,45.16,45.16,8095500,-1
2023-12-22,45.34,45.740002,45.110001,45.369999,45.369999,6295400,-1
2023-12-26,45.689999,46.380001,45.540001,45.919998,45.919998,7602300,1
2023-12-27,45.919998,46.700001,45.68,45.939999,45.939999,6627600,1
2023-12-28,45.82,46.049999,45.32,46.049999,46.049999,7871200,1
